geneId	geneSymbol	DSI	DPI	diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	score	EI	YearInitial	YearFinal	NofPmids	NofSnps	source
        1	A1BG	0.7	0.538	C0019209	Hepatomegaly	phenotype	C23;C06	Finding	0.30	1	2017	2017	   1	   0	CTD_human
        1	A1BG	0.7	0.538	C0036341	Schizophrenia	disease	F03	Mental or Behavioral Dysfunction	0.30	1	2015	2015	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0002395	Alzheimer's Disease	disease	C10;F03	Disease or Syndrome	0.50	0.769	1998	2018	   3	   0	CTD_human
        2	A2M	0.529	0.769	C0007102	Malignant tumor of colon	disease	C06;C04	Neoplastic Process	0.31	1	2004	2019	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0009375	Colonic Neoplasms	group	C06;C04	Neoplastic Process	0.30	1	2004	2004	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0011265	Presenile dementia	disease	C10;F03	Mental or Behavioral Dysfunction	0.30	1	1998	2004	   3	   0	CTD_human
        2	A2M	0.529	0.769	C0011570	Mental Depression	disease	F01	Mental or Behavioral Dysfunction	0.30	1	1987	2000	   2	   0	PSYGENET
        2	A2M	0.529	0.769	C0011581	Depressive disorder	disease	F03	Mental or Behavioral Dysfunction	0.30	1	1987	2000	   2	   0	PSYGENET
        2	A2M	0.529	0.769	C0019202	Hepatolenticular Degeneration	disease	C16;C06;C18;C10	Disease or Syndrome	0.30	1	2013	2013	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0022660	Kidney Failure, Acute	disease	C13;C12	Disease or Syndrome	0.30	1	2013	2013	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0023890	Liver Cirrhosis	disease	C23;C06	Disease or Syndrome	0.30	1	2016	2016	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0023893	Liver Cirrhosis, Experimental	disease	C23;C06	Experimental Model of Disease	0.30	1	2014	2014	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0024115	Lung diseases	group	C08	Disease or Syndrome	0.32	1	1983	1989	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0024121	Lung Neoplasms	group	C04;C08	Neoplastic Process	0.30	1	2007	2009	   2	   0	CTD_human
        2	A2M	0.529	0.769	C0027726	Nephrotic Syndrome	group	C13;C12	Disease or Syndrome	0.51	1	1998	2001	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0206669	Hepatocellular Adenoma	disease	C06;C04	Neoplastic Process	0.50	1	2004	2004	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0239946	Fibrosis, Liver	disease	C23;C06	Disease or Syndrome	0.30	1	2016	2016	   1	   0	CTD_human
        2	A2M	0.529	0.769	C0242379	Malignant neoplasm of lung	disease	C04;C08	Neoplastic Process	0.30	1	2007	2009	   2	   0	CTD_human
        2	A2M	0.529	0.769	C0276496	Familial Alzheimer Disease (FAD)	disease	C10;F03	Disease or Syndrome	0.31	1	1998	2016	   3	   0	CTD_human
        2	A2M	0.529	0.769	C0494463	Alzheimer Disease, Late Onset	disease	C10;F03	Mental or Behavioral Dysfunction	0.37	0.8	1998	2010	   3	   0	CTD_human
        2	A2M	0.529	0.769	C0546126	Acute Confusional Senile Dementia	disease	C10;F03	Mental or Behavioral Dysfunction	0.30	1	1998	2004	   3	   0	CTD_human
        2	A2M	0.529	0.769	C0750900	Alzheimer's Disease, Focal Onset	disease	C10;F03	Mental or Behavioral Dysfunction	0.30	1	1998	2004	   3	   0	CTD_human
        2	A2M	0.529	0.769	C0750901	Alzheimer Disease, Early Onset	disease	C10;F03	Disease or Syndrome	0.30	1	1998	2004	   3	   0	CTD_human
        2	A2M	0.529	0.769	C1527352	Hepatic Form of Wilson Disease	disease	C16;C06;C18;C10	Disease or Syndrome	0.30	1	2013	2013	   1	   0	CTD_human
        2	A2M	0.529	0.769	C1565662	Acute Kidney Insufficiency	disease	C13;C12	Disease or Syndrome	0.30	1	2013	2013	   1	   0	CTD_human
        2	A2M	0.529	0.769	C2239176	Liver carcinoma	disease	C06;C04	Neoplastic Process	0.51	1	2004	2004	   1	   0	CTD_human
        2	A2M	0.529	0.769	C2609414	Acute kidney injury	disease	C13;C12	Injury or Poisoning	0.30	1	2013	2013	   1	   0	CTD_human
        2	A2M	0.529	0.769	C3279661	alpha-2-Macroglobulin Deficiency	disease	C08	Disease or Syndrome	0.31	1	1989	1989	   0	   0	CTD_human
        9	NAT1	0.536	0.846	C0001973	Alcoholic Intoxication, Chronic	disease	C25;F03	Mental or Behavioral Dysfunction	0.31	1	2000	2000	   1	   0	PSYGENET
        9	NAT1	0.536	0.846	C0004403	Autosome Abnormalities	group	C23	Cell or Molecular Dysfunction	0.30	1	2006	2006	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0005684	Malignant neoplasm of urinary bladder	disease	C04;C13;C12	Neoplastic Process	0.40	0.75	1995	2018	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0005695	Bladder Neoplasm	disease	C04;C13;C12	Neoplastic Process	0.40	0.76	1995	2017	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0006826	Malignant Neoplasms	group	C04	Neoplastic Process	0.40	1	1995	2018	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0008625	Chromosome Aberrations	group	C23	Cell or Molecular Dysfunction	0.30	1	2006	2006	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0013221	Drug toxicity	group	C25	Injury or Poisoning	0.30	1	2001	2001	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0027651	Neoplasms	group	C04	Neoplastic Process	0.40	1	1998	2019	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0028796	Dermatitis, Occupational	disease	C17;C24	Disease or Syndrome	0.30	1	2009	2009	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0033578	Prostatic Neoplasms	group	C04;C12	Neoplastic Process	0.32	1	2002	2005	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0041755	Adverse reaction to drug	group	C25	Pathologic Function	0.30	1	2001	2001	   1	   0	CTD_human
        9	NAT1	0.536	0.846	C0086457	Industrial Dermatosis	disease	C17;C24	Disease or Syndrome	0.30	1	2009	2009	   1	   0	CTD_human
