dis_doid	dis_name	numgenes_AlteredExpression	numgenes_Biomarker	numgenes_GenomicAlterations	numgenes_PosttranslationalModification	numgenes_Therapeutic	numgenes_dir	numgenes_prop
DOID:162	cancer	9908	12125	6890	1998	215	11480	14408
DOID:863	nervous system disease	5174	8872	6231	636	258	977	11042
DOID:305	carcinoma	6767	8033	3679	951	58	2544	10230
DOID:77	gastrointestinal system disease	5673	7864	4239	780	176	150	10208
DOID:2994	germ cell cancer	5386	7697	2888	637	26	308	9270
DOID:331	central nervous system disease	4294	7148	4777	494	204	319	9248
DOID:3119	gastrointestinal system cancer	5132	6539	2874	729	61	546	8673
DOID:688	embryonal cancer	4549	6861	2262	491	0	73	8243
DOID:4766	embryoma	4526	6841	2254	490	0	8221	8221
DOID:5295	intestinal disease	3862	5549	2855	454	60	209	7627
DOID:17	musculoskeletal system disease	3751	5763	3281	257	54	38	7593
DOID:28	endocrine system disease	3925	5799	2738	338	129	74	7505
DOID:850	lung disease	4221	5328	2484	414	80	700	7201
DOID:2914	immune system disease	3794	5326	3453	556	68	1873	7139
DOID:936	brain disease	3076	5402	2834	341	167	726	7031
DOID:65	connective tissue disease	3422	5100	2674	214	36	188	6830
DOID:1287	cardiovascular system disease	2346	4976	3572	193	286	1759	6655
DOID:10155	intestinal cancer	3326	4470	2029	393	29	227	6338
DOID:150	disease of mental health	1778	4358	3760	132	77	789	6322
DOID:5672	large intestine cancer	3308	4448	2017	390	28	6314	6318
DOID:9256	colorectal cancer	3196	4333	1991	380	27	6276	6210
DOID:0080001	bone disease	2735	4584	2252	146	28	317	6084
DOID:1324	lung cancer	3717	4307	1794	363	24	6053	6084
DOID:3905	lung carcinoma	3712	4306	1790	363	24	4337	6078
DOID:1289	neurodegenerative disease	2514	4221	3032	210	72	1577	6008
DOID:0014667	disease of metabolism	2711	4445	2789	209	128	945	5944
DOID:170	endocrine gland cancer	3297	4366	1454	284	54	19	5825
DOID:74	hematopoietic system disease	2719	4250	2421	471	51	255	5517
DOID:18	urinary system disease	2638	4096	1782	247	136	2	5477
DOID:0080199	colorectal carcinoma	2640	3593	1821	325	9	5473	5473
DOID:1492	eye and adnexa disease	1574	4229	2104	112	86	45	5332
DOID:3093	nervous system cancer	3028	3988	1107	378	27	70	5303
DOID:178	vascular disease	1859	3978	2566	129	255	712	5284
DOID:48	male reproductive system disease	2791	3948	1429	292	36	1	5280
DOID:5614	eye disease	1547	4157	2063	112	84	400	5249
DOID:229	female reproductive system disease	2464	3874	1357	219	39	21	5142
DOID:2531	hematologic cancer	2718	3633	2072	487	29	963	4987
DOID:47	prostate disease	2601	3566	1140	262	33	72	4784
DOID:10283	prostate cancer	2590	3538	1133	256	25	4692	4762
DOID:299	adenocarcinoma	2927	2681	1312	198	13	2235	4621
